S1_Light,S2_Light,S3_Light,S4_Light,S5_CO2,S5_CO2_Slope,S6_PIR,S7_PIR,Temperature,Sound,Room_Occupancy_Count
0,0,2,1,345,0.0,0,0,24.985,0.0675,0
115,24,180,12,735,1.392307692,0,1,26.0,0.06,2
0,0,0,0,550,-1.988461538,0,0,25.595,0.06,0
14,15,72,53,600,-1.473076923,0,0,26.1575,0.0625,0
0,0,0,0,665,-3.003846154,0,0,25.6575,0.0625,0
19,23,83,60,355,0.0,0,0,25.5675,0.075,0
0,0,0,0,365,-0.042307692,0,0,25.3775,0.055,0
1,1,7,5,360,0.161538462,0,0,25.05,0.055,0
0,0,0,0,370,0.0,0,0,25.3775,0.06,0
0,0,0,0,420,-1.407692308,0,0,25.47,0.0625,0
0,0,0,0,350,0.0,0,0,25.58,0.0725,0
12,14,57,40,355,0.0,0,0,25.2375,0.0675,0
4,4,22,15,360,0.019230769,0,0,25.0475,0.0625,0
150,239,181,11,1220,1.342307692,0,0,26.705,0.215,3
0,0,0,0,375,-0.284615385,0,0,25.3925,0.065,0
0,0,0,0,360,-0.023076923,0,0,24.985,0.06,0
0,0,0,0,360,0.096153846,0,0,25.08,0.06,0
14,14,68,49,645,0.246153846,0,0,26.1725,0.0675,0
119,23,34,24,475,1.25,0,0,26.17,0.0875,1
119,29,51,30,605,0.342307692,1,0,25.92,1.0624999999999998,1
142,228,8,8,835,0.023076923,1,1,25.9875,0.3525,2
0,0,0,0,360,-0.103846154,0,0,25.315,0.065,0
2,2,12,8,360,0.034615385,0,0,25.0175,0.0625,0
20,24,83,59,355,0.0,0,0,25.5175,0.0725,0
7,6,38,25,490,2.211538462,1,0,25.845,0.175,3
6,6,32,21,360,0.0,0,0,25.0775,0.06,0
0,0,0,0,370,-0.238461538,0,0,25.36,0.065,0
0,0,0,0,345,0.0,0,0,24.9675,0.0625,0
0,0,0,0,360,0.019230769,0,0,25.1575,0.0574999999999999,0
0,0,0,0,350,0.0,0,0,25.5325,0.0675,0
12,14,55,40,355,0.0,0,0,25.2825,0.0824999999999999,0
120,25,47,35,420,0.111538462,1,0,26.125,0.08,1
6,7,32,21,345,0.0,0,0,24.985,0.065,0
0,0,4,3,350,-0.088461538,0,0,25.0175,0.0725,0
0,0,0,0,350,-0.111538462,0,0,25.5025,0.0725,0
0,0,0,0,375,-0.261538462,0,0,25.36,0.06,0
4,4,22,15,355,0.023076923,0,0,24.97,0.0625,0
1,1,10,6,355,0.0,0,0,24.985,0.06,0
0,0,0,0,370,-0.207692308,0,0,25.33,0.0625,0
159,248,73,54,415,1.038461538,1,0,25.75,0.1225,2
148,234,184,10,945,2.992307692,0,0,26.175,0.12,3
0,0,0,0,385,-0.153846154,0,0,25.3925,0.06,0
0,0,1,1,350,-0.003846154,0,0,25.58,0.0825,0
116,25,183,14,715,1.923076923,1,1,26.0,1.5399999999999998,2
0,0,0,0,350,-0.084615385,0,0,25.4225,0.07,0
0,0,0,0,775,-2.134615385,0,0,25.795,0.065,0
0,0,0,0,355,-0.280769231,0,0,25.3,0.0675,0
0,0,0,0,680,-2.215384615,0,0,25.705,0.06,0
0,0,0,0,400,-1.053846154,0,0,25.455,0.07,0
11,13,54,37,360,0.023076923,0,0,25.25,0.08,0
0,0,0,0,355,0.119230769,0,0,25.5325,0.0725,0
3,3,15,11,355,0.011538462,0,0,24.97,0.0625,0
2,3,14,10,350,-0.030769231,0,0,25.6125,0.0725,0
0,0,0,0,380,-0.269230769,0,0,25.4375,0.06,0
8,8,40,26,360,-0.003846154,0,0,25.0475,0.0625,0
0,0,0,0,365,-0.073076923,0,0,25.315,0.0625,0
0,0,0,0,365,-0.034615385,0,0,25.1575,0.06,0
0,0,0,0,355,-0.046153846,0,0,25.1275,0.06,0
0,0,0,0,355,-0.034615385,0,0,25.0825,0.07,0
0,0,0,0,355,0.0,0,0,25.3125,0.075,0
0,0,0,0,520,-2.165384615,0,0,25.515,0.065,0
0,0,0,0,355,0.0,0,0,25.28,0.07,0
16,20,72,51,355,0.0,0,0,25.4525,0.0725,0
6,7,32,21,345,0.0,0,0,24.985,0.0625,0
10,11,48,32,355,0.0,0,0,25.1575,0.0725,0
0,0,0,0,355,0.0,0,0,25.395,0.0725,0
17,20,74,53,355,0.0,0,0,25.4375,0.075,0
14,19,87,54,705,-2.55,0,0,25.985,0.0575,0
0,0,0,0,365,-0.080769231,0,0,25.3325,0.0575,0
4,4,20,14,355,0.046153846,0,0,24.97,0.0625,0
0,0,0,0,570,-2.25,0,0,25.6125,0.06,0
10,11,57,36,370,0.769230769,1,0,25.5325,0.1625,3
3,3,17,13,360,0.038461538,0,0,24.9375,0.0625,0
0,0,0,0,840,-2.073076923,0,0,25.8425,0.06,0
0,0,0,0,785,-2.146153846,0,0,25.7975,0.055,0
0,0,0,0,820,-3.346153846,0,0,25.8425,0.06,0
0,0,0,0,355,0.0,0,0,25.33,0.075,0
115,24,179,11,745,1.25,0,1,26.0325,0.0675,2
8,8,30,27,475,2.630769231,1,0,25.7975,0.29,3
5,5,25,17,360,0.176923077,0,0,24.985,0.065,0
0,0,0,0,765,-2.469230769,0,0,25.78,0.06,0
0,0,0,0,525,-1.842307692,0,0,25.565,0.06,0
9,10,45,32,355,0.0,0,0,25.5975,0.07,0
6,6,32,21,350,0.0,0,0,25.0825,0.075,0
0,0,0,0,440,-1.365384615,0,0,25.5,0.0625,0
0,0,0,0,620,-2.5,0,0,25.6275,0.06,0
0,0,0,0,380,-0.273076923,0,0,25.4225,0.0625,0
118,24,194,15,595,1.35,1,0,25.9525,0.4775,2
0,0,0,0,360,-0.05,0,0,25.0025,0.065,0
0,0,0,0,360,3.08e-18,0,0,25.1575,0.0625,0
0,0,0,0,550,-1.992307692,0,0,25.58,0.06,0
0,0,0,0,360,0.030769231,0,0,25.1725,0.06,0
142,226,172,10,1225,0.9,1,1,26.72,0.4225,3
2,3,14,10,350,-0.034615385,0,0,25.5975,0.0775,0
150,236,186,11,805,1.273076923,0,0,26.1425,0.1525,3
0,0,0,0,410,-1.465384615,0,0,25.455,0.055,0
0,0,0,0,350,-0.080769231,0,0,25.5025,0.0725,0
150,239,180,10,1215,0.484615385,0,1,26.6875,0.7225,3
17,20,75,54,355,0.0,0,0,25.4375,0.0725,0
0,0,0,0,345,0.0,0,0,25.1725,0.07,0
10,11,49,35,355,0.0,0,0,25.205,0.0725,0
0,0,0,0,835,-0.342307692,0,0,25.895,0.065,0
0,0,0,0,365,-0.161538462,0,0,25.3625,0.0574999999999999,0
0,0,0,0,355,-0.126923077,0,0,25.1275,0.06,0
0,0,0,0,365,-0.080769231,0,0,25.28,0.0625,0
4,4,26,14,705,2.619230769,1,1,25.875,0.1425,3
0,0,0,0,365,0.042307692,0,0,25.2975,0.0525,0
0,0,0,0,345,0.0,0,0,25.035,0.0625,0
1,1,9,5,360,0.126923077,0,0,25.035,0.0625,0
0,0,0,0,370,-0.161538462,0,0,25.3625,0.06,0
116,25,185,18,685,2.588461538,0,1,25.985,0.585,2
17,20,74,54,355,0.0,0,0,25.4525,0.075,0
0,0,0,0,360,0.0,0,0,25.1725,0.065,0
1,1,10,7,350,0.0,0,0,25.595,0.0725,0
161,251,83,62,510,-0.538461538,0,0,25.8925,0.0875,2
13,16,64,46,355,0.0,0,0,25.5975,0.0975,0
115,19,181,7,1025,0.346153846,0,0,26.1425,0.525,2
3,3,15,11,350,-0.073076923,0,0,25.625,0.07,0
149,237,179,11,835,0.938461538,1,1,26.0975,0.895,3
1,1,10,7,360,0.057692308,0,0,25.0325,0.0575,0
150,234,185,10,980,1.942307692,0,0,26.205,0.3424999999999999,3
161,253,82,60,480,-2.207692308,1,0,25.8925,0.6825,2
0,0,0,0,785,-1.988461538,0,0,25.7975,0.06,0
0,0,0,0,365,-0.05,0,0,25.265,0.0625,0
0,0,0,0,345,0.0,0,0,25.065,0.065,0
0,0,0,0,365,-0.061538462,0,0,25.28,0.06,0
0,0,0,0,360,-0.211538462,0,0,25.08,0.06,0
119,24,37,27,470,1.584615385,1,1,26.14,0.4075,1
0,0,0,0,350,-0.034615385,0,0,25.2525,0.0625,0
119,27,213,25,615,0.284615385,1,1,25.94,1.005,2
16,20,75,54,355,0.0,0,0,25.5975,0.065,0
14,18,69,49,355,0.0,0,0,25.6125,0.075,0
150,239,182,11,1220,1.215384615,0,1,26.6725,1.1275,3
5,6,31,20,360,0.0,0,0,24.9675,0.065,0
0,0,0,0,385,-0.215384615,0,0,25.4225,0.0574999999999999,0
0,0,0,0,355,0.0,0,0,25.22,0.065,0
12,15,61,45,355,0.0,0,0,25.6125,0.0725,0
19,23,83,60,355,0.0,0,0,25.5675,0.07,0
0,0,0,0,350,-1.23e-17,0,0,25.485,0.07,0
150,235,185,10,1045,2.111538462,0,0,26.2375,0.0875,3
3,4,19,13,350,0.0,0,0,24.92,0.07,0
150,242,189,12,765,1.8,1,1,26.0475,0.45,3
1,1,7,5,350,0.0,0,0,25.58,0.0775,0
165,254,275,72,870,0.623076923,0,1,26.4225,0.8025000000000001,2
0,0,0,0,390,-0.073076923,0,0,25.4675,0.0625,0
14,15,62,45,360,-0.080769231,0,0,25.3125,0.0625,0
0,0,0,0,355,0.161538462,0,0,25.5325,0.07,0
0,0,0,0,360,0.007692308,0,0,25.1725,0.0625,0
7,7,38,25,485,2.315384615,1,1,25.83,0.2024999999999999,3
0,0,0,0,355,0.042307692,0,0,25.44,0.075,0
0,0,0,0,350,-0.138461538,0,0,25.47,0.0725,0
0,0,0,0,355,0.0,0,0,24.9825,0.0574999999999999,0
0,0,1,1,355,0.015384615,0,0,24.9675,0.065,0
14,19,70,51,355,0.0,0,0,25.58,0.065,0
14,18,67,49,355,0.0,0,0,25.6125,0.0725,0
122,37,67,49,370,0.280769231,0,0,25.4375,0.2249999999999999,1
0,0,0,0,365,-0.061538462,0,0,25.205,0.0574999999999999,0
0,0,0,0,355,0.092307692,0,0,25.44,0.1149999999999999,0
0,0,0,0,355,0.0,0,0,25.425,0.0675,0
148,234,177,10,995,4.480769231,1,1,26.25,0.7274999999999999,3
18,22,78,56,355,0.0,0,0,25.5325,0.07,0
0,0,0,0,355,0.0,0,0,25.2175,0.07,0
142,226,171,10,1225,0.907692308,0,1,26.735,1.1625,3
0,0,0,0,620,-1.373076923,0,0,25.595,0.09,0
8,8,40,26,360,-0.034615385,0,0,25.0475,0.0625,0
0,0,0,0,355,0.084615385,0,0,25.5025,0.0725,0
142,228,5,7,830,-0.161538462,0,0,26.0,0.345,2
0,0,0,0,515,-1.838461538,0,0,25.565,0.06,0
14,16,64,45,360,0.061538462,0,0,25.3,0.11,0
14,14,69,50,540,-4.015384615,0,0,26.1425,0.0925,0
0,0,0,0,375,-0.019230769,0,0,25.3475,0.06,0
17,20,74,53,355,0.0,0,0,25.4525,0.075,0
0,0,0,0,550,-1.903846154,0,0,25.6125,0.0625,0
118,25,49,35,415,-1.807692308,0,0,26.0775,0.2825,1
0,0,0,0,355,0.226923077,0,0,25.44,0.0725,0
0,0,0,0,355,-0.107692308,0,0,25.455,0.075,0
6,7,35,23,355,-0.026923077,0,0,25.0825,0.06,0
150,238,180,11,860,1.319230769,0,1,26.08,0.06,3
118,21,27,20,515,1.746153846,0,0,26.17,0.355,1
0,0,3,2,355,-0.065384615,0,0,25.035,0.0575,0
10,10,53,33,370,1.046153846,0,0,25.6725,0.2199999999999999,3
0,0,0,0,350,0.0,0,0,25.5325,0.0725,0
0,0,0,0,365,0.034615385,0,0,25.28,0.0625,0
18,22,98,59,950,-0.788461538,0,0,26.22,0.0999999999999999,0
0,0,0,0,365,0.0,0,0,25.3125,0.065,0
122,35,56,43,390,-0.1,0,0,24.9675,0.0825,1
0,0,0,0,365,0.0,0,0,25.28,0.055,0
155,245,72,53,385,0.161538462,0,1,25.61,0.59,2
5,5,28,19,360,0.0,0,0,25.0325,0.06,0
0,0,0,0,430,-1.361538462,0,0,25.5,0.06,0
14,17,81,50,685,-1.923076923,0,0,25.97,0.0925,0
0,0,0,0,370,-0.042307692,0,0,25.33,0.065,0
114,19,179,7,1045,0.403846154,0,0,26.1875,0.2099999999999999,2
0,0,0,0,750,-2.192307692,0,0,25.7975,0.06,0
14,15,72,53,545,-3.857692308,0,0,26.1425,0.105,0
18,20,78,55,355,0.0,0,0,25.345,0.0925,0
6,7,34,22,360,0.0,0,0,24.9975,0.0625,0
159,249,79,59,400,0.4,1,0,25.72,0.6224999999999999,2
0,0,0,0,360,-0.103846154,0,0,25.065,0.06,0
0,0,0,0,355,0.211538462,0,0,25.5325,0.0775,0
0,0,0,0,385,-0.211538462,0,0,25.4375,0.0574999999999999,0
123,37,69,49,375,0.242307692,1,0,25.5025,0.345,1
0,0,0,0,390,0.0,0,0,25.485,0.06,0
0,0,0,0,995,-2.765384615,0,0,26.0175,0.055,0
18,22,78,57,355,0.0,0,0,25.5175,0.0725,0
15,20,89,54,750,-3.646153846,0,0,26.015,0.0625,0
5,5,27,18,360,0.034615385,0,0,24.9675,0.0625,0
0,0,0,0,390,-1.023076923,0,0,25.47,0.055,0
150,236,180,10,1105,2.196153846,1,1,26.3,1.355,3
0,0,0,0,405,-1.161538462,0,0,25.5325,0.06,0
0,0,0,0,375,0.0,0,0,25.3175,0.06,0
0,0,0,0,595,-1.988461538,0,0,25.6425,0.06,0
11,13,54,38,360,0.034615385,0,0,25.235,0.0625,0
0,0,5,3,345,0.0,0,0,24.9675,0.0725,0
0,0,0,0,385,-0.269230769,0,0,25.4075,0.06,0
121,26,49,35,415,-0.138461538,0,0,26.125,0.0875,1
0,0,0,0,365,0.0,0,0,25.3625,0.055,0
2,3,14,10,350,-0.069230769,0,0,25.5975,0.07,0
20,24,87,63,355,0.0,0,0,25.5825,0.0725,0
0,0,0,0,345,0.0,0,0,25.08,0.07,0
0,0,0,0,355,0.0,0,0,24.9675,0.0575,0
0,0,0,0,365,-0.261538462,0,0,25.36,0.065,0
0,0,0,0,500,-1.946153846,0,0,25.565,0.065,0
0,0,0,0,350,-0.103846154,0,0,25.22,0.065,0
3,3,19,12,750,2.788461538,1,1,25.89,0.075,3
1,1,8,5,360,0.138461538,0,0,25.0325,0.06,0
0,0,0,0,365,0.0,0,0,25.3475,0.0525,0
119,34,70,45,575,-1.096153846,0,0,25.94,0.1925,1
0,0,0,0,355,-0.030769231,0,0,25.0025,0.0625,0
0,0,0,0,520,-1.953846154,0,0,25.58,0.06,0
5,5,25,17,360,0.0,0,0,25.0325,0.06,0
162,251,86,65,565,3.915384615,1,0,26.08,0.7425,2
12,14,56,40,355,0.0,0,0,25.2825,0.075,0
150,242,180,12,830,1.557692308,0,0,26.0625,0.1225,3
13,14,57,41,355,0.0,0,0,25.2825,0.07,0
0,0,0,0,355,0.0,0,0,25.28,0.105,0
3,3,18,13,350,0.0,0,0,24.92,0.0725,0
8,8,40,27,360,-0.007692308,0,0,25.0325,0.07,0
0,0,0,0,400,-1.307692308,0,0,25.47,0.07,0
5,6,29,21,350,0.053846154,0,0,25.5975,0.07,0
6,7,34,22,350,0.0,0,0,25.015,0.07,0
0,0,0,0,890,-3.592307692,0,0,25.875,0.0625,0
0,0,0,0,550,-2.030769231,0,0,25.595,0.06,0
14,16,64,45,355,0.0,0,0,25.2675,0.0725,0
4,4,19,14,345,0.0,0,0,24.935,0.0675,0
0,0,0,0,370,-0.119230769,0,0,25.36,0.0625,0
0,0,5,4,345,0.0,0,0,24.9375,0.065,0
149,240,180,12,830,1.880769231,0,1,26.095,0.1425,3
0,0,0,0,365,0.0,0,0,25.235,0.065,0
10,11,57,41,460,-2.211538462,0,0,26.1075,0.0625,0
0,0,0,0,355,-0.076923077,0,0,25.0175,0.06,0
0,0,0,0,370,-0.080769231,0,0,25.345,0.0625,0
2,3,14,10,350,-0.057692308,0,0,25.6275,0.0725,0
17,20,73,53,355,0.0,0,0,25.47,0.075,0
0,0,0,0,385,-0.261538462,0,0,25.4525,0.0574999999999999,0
11,14,55,40,355,0.0,0,0,25.5975,0.075,0
0,0,0,0,360,-0.061538462,0,0,25.1575,0.0625,0
7,7,36,24,355,-0.015384615,0,0,25.0825,0.0875,0
0,0,0,0,360,-0.034615385,0,0,25.11,0.0575,0
0,0,2,1,355,0.038461538,0,0,24.985,0.0575,0
6,7,35,23,355,-0.065384615,0,0,25.0825,0.06,0
18,20,75,55,355,0.0,0,0,25.5025,0.0725,0
0,0,0,0,365,-0.042307692,0,0,25.3625,0.0574999999999999,0
2,2,11,7,355,0.023076923,0,0,24.985,0.0625,0
5,5,29,20,360,0.0,0,0,25.065,0.0625,0
0,0,0,0,695,-1.319230769,0,0,25.72,0.0725,0
116,22,186,10,735,2.319230769,1,0,26.035,0.2375,2
160,251,81,60,545,4.880769231,0,0,25.9075,0.7925,2
14,15,63,45,360,-0.038461538,0,0,25.2825,0.065,0
0,0,0,0,975,-2.188461538,0,0,25.97,0.0575,0
18,23,99,60,855,-4.769230769,0,0,26.175,0.075,0
0,0,0,0,355,-0.046153846,0,0,25.095,0.06,0
0,0,0,0,675,-2.253846154,0,0,25.6425,0.0675,0
0,0,0,0,415,-1.169230769,0,0,25.5,0.0549999999999999,0
118,19,184,7,1040,0.788461538,0,1,26.235,0.5225,2
0,0,0,0,1165,-4.242307692,0,0,26.2825,0.0625,0
5,5,24,17,360,0.196153846,0,0,24.985,0.0625,0
0,0,0,0,390,0.0,0,0,25.4525,0.065,0
0,0,0,0,375,-0.288461538,0,0,25.41,0.06,0
160,243,223,65,675,1.707692308,1,1,26.565,2.2675,3
4,5,23,15,360,0.080769231,0,0,24.9525,0.0625,0
150,235,186,10,890,3.769230769,0,1,26.1575,0.135,3
0,0,0,0,585,-2.45,0,0,25.595,0.0575,0
0,0,0,0,720,-2.15,0,0,25.75,0.0575,0
0,0,2,2,355,0.007692308,0,0,24.9675,0.0625,0
0,0,0,0,675,-1.65,0,0,25.69,0.0625,0
0,0,0,0,595,-2.846153846,0,0,25.6425,0.06,0
114,24,178,10,760,1.230769231,0,0,26.015,0.065,2
5,6,29,20,345,0.0,0,0,24.985,0.065,0
14,14,69,49,610,-0.488461538,0,0,26.1725,0.0625,0
142,226,171,10,1220,0.742307692,1,1,26.72,0.3675,3
12,13,54,39,355,-0.076923077,0,0,25.205,0.0625,0
115,19,181,7,1025,0.35,0,0,26.1275,0.1425,2
165,256,279,71,935,2.026923077,1,0,26.4075,0.21,3
12,13,63,45,540,-0.123076923,0,0,26.1575,0.1,0
150,236,180,10,1155,3.019230769,0,1,26.345,0.09,3
0,0,0,0,345,-0.253846154,0,0,25.25,0.065,0
160,249,76,57,405,0.830769231,0,0,25.7525,0.175,2
10,12,49,35,355,0.0,0,0,25.5825,0.0725,0
0,0,0,0,365,0.0,0,0,25.33,0.0575,0
3,4,18,13,350,-0.030769231,0,0,25.6275,0.08,0
0,0,0,0,350,-0.088461538,0,0,25.2825,0.065,0
157,243,80,61,625,1.130769231,1,1,26.0325,0.4449999999999999,2
150,235,179,10,1070,2.542307692,0,1,26.315,0.1025,3
0,0,0,0,370,0.0,0,0,25.345,0.065,0
0,0,0,0,385,-0.234615385,0,0,25.425,0.065,0
3,3,16,12,355,-0.011538462,0,0,24.97,0.0625,0
0,0,4,3,345,0.0,0,0,24.9525,0.0625,0
0,0,0,0,350,0.038461538,0,0,25.5475,0.0725,0
0,0,0,0,450,-1.4,0,0,25.47,0.065,0
0,0,0,0,355,0.123076923,0,0,25.4725,0.07,0
0,0,0,0,670,-2.215384615,0,0,25.69,0.0575,0
0,0,0,0,345,-0.046153846,0,0,25.25,0.0675,0
5,7,23,21,580,3.630769231,0,0,25.845,0.19,3
3,3,13,11,750,2.353846154,1,1,25.9075,0.1975,3
150,236,185,11,790,1.242307692,1,0,26.11,0.27,3
3,3,17,12,350,-0.015384615,0,0,25.5975,0.0725,0
0,0,0,0,850,-3.315384615,0,0,25.8775,0.065,0
6,7,33,21,345,0.0,0,0,24.985,0.0675,0
0,0,0,0,350,-0.138461538,0,0,25.5175,0.07,0
12,14,55,39,355,0.0,0,0,25.2675,0.0675,0
0,0,0,0,365,0.003846154,0,0,25.1575,0.06,0
164,251,273,74,960,1.984615385,1,0,26.4375,0.5275,3
0,0,0,0,355,0.019230769,0,0,25.5175,0.0725,0
0,0,5,3,345,0.0,0,0,24.9675,0.0825,0
0,0,0,0,620,-2.030769231,0,0,25.6425,0.06,0
14,14,67,49,645,-0.407692308,0,0,26.1875,0.0725,0
12,14,54,38,355,0.0,0,0,25.2675,0.0675,0
4,4,20,14,355,-0.088461538,0,0,25.5975,0.09,0
0,0,0,0,360,-0.080769231,0,0,25.1575,0.06,0
0,0,5,3,345,0.0,0,0,24.9675,0.0675,0
150,239,180,11,1220,1.365384615,1,1,26.6875,1.0475,3
0,0,0,0,360,0.0,0,0,25.22,0.0574999999999999,0
117,27,45,27,610,0.842307692,0,0,25.92,0.0725,1
0,0,0,0,770,-2.05,0,0,25.7825,0.0575,0
0,0,0,0,655,-2.426923077,0,0,25.675,0.0625,0
6,6,30,20,345,0.0,0,0,25.0025,0.065,0
0,0,0,0,910,-3.653846154,0,0,25.89,0.06,0
0,0,0,0,355,0.065384615,0,0,25.47,0.0725,0
11,13,53,36,360,0.011538462,0,0,25.22,0.0725,0
123,37,68,49,370,0.292307692,0,0,25.47,0.26,1
17,21,75,54,355,0.0,0,0,25.4875,0.07,0
0,0,0,0,775,-2.084615385,0,0,25.7975,0.0575,0
162,249,228,70,845,8.980769231,1,1,26.47,0.3999999999999999,3
0,0,0,0,355,-0.003846154,0,0,25.05,0.06,0
150,239,180,10,1220,1.288461538,0,0,26.6725,0.5075000000000001,3
0,0,0,0,360,0.0,0,0,25.0325,0.065,0
116,35,77,49,590,-3.173076923,1,0,25.94,0.0925,1
0,0,0,0,630,-2.326923077,0,0,25.625,0.0625,0
124,38,72,52,365,0.161538462,0,0,25.4225,0.5299999999999999,1
10,11,50,34,360,0.030769231,0,0,25.22,0.07,0
0,0,3,2,355,-0.015384615,0,0,24.9675,0.06,0
13,14,59,42,360,-0.05,0,0,25.2525,0.0625,0
6,8,35,24,355,-0.196153846,0,0,25.5975,0.075,0
0,0,0,0,630,-1.657692308,0,0,25.6125,0.0675,0
0,0,0,0,365,-0.142307692,0,0,25.3625,0.0625,0
3,3,15,10,350,0.0,0,0,24.9375,0.075,0
107,33,77,49,595,-3.634615385,1,1,25.9075,0.475,1
0,0,0,0,365,-0.042307692,0,0,25.1875,0.0625,0
10,11,50,35,360,0.138461538,0,0,25.16,0.065,0
0,0,0,0,495,-1.869230769,0,0,25.5175,0.0675,0
0,0,0,0,425,-1.803846154,0,0,25.47,0.065,0
0,0,0,0,375,-0.192307692,0,0,25.36,0.0625,0
0,0,0,0,365,-0.007692308,0,0,25.2975,0.0574999999999999,0
